,Nimero,                Descripcin, Cidigo,Existencia,unidad, Ultima modificaciin
208,03 04 011 0070, Masterbach Naranja,  MB07,81.3,kg,    ANA      17/10/02 10:29
209,03 04 011 0080, Bicarbonato de Sodio CT 208,  BICARBONATO,100.0,kg,    BEATRIZ  13/03/18  9:14
210,03 04 011 0100, Masterbach Rojo,  MB10,46.3,kg,    ANA      17/10/02 10:29
211,03 04 011 0120, Masterbach Azul,  MB12,71.8,kg,    CLEON    02/12/16  9:16
212,03 04 011 0340, Masterbach Negro,  MB34,20.7,kg,    ANA      17/10/02 10:29
213,03 08 001 0001, Tinta Blanca Superficie,  TSBLAN1,694.36,kg,    ANA      17/10/02 10:32
214,03 08 004 0001, Tinta Amarilla Superficie,  TSAMAR1,0.0,kg,    ANA      17/10/02 10:32
215,03 08 004 0002, Tinta Amarillo Cromo Superficie,  AMARCRO,0.0,kg,    PACO     31/10/02 15:54
216,03 08 004 0003, Tinta Flexilam Amarillo Superficie,  TSFPAMA1,0.0,kg,    CLEON    31/07/17  9:52
217,03 08 007 0001, Tinta Naranja Superficie,  TSNARA1,32.9,kg,    ANA      17/10/02 10:32
218,03 08 007 0019, Tinta Naranja Windsor,  TWNARA19,134.05,kg,    PACO     03/05/06 14:38
219,03 08 007 0020, Tinta Beige Windsor (Trimate),  TWBEIGE20,64.1,kg,    BEATRIZ  02/09/08  8:31
220,03 08 010 0001, Tinta Roja Medio Superficie,  TSROJA1,162.59,kg,    ANA      17/10/02 10:32
221,03 08 010 0002, Tinta Roja Escarlata Superficie,  TSROJA2,54.2,kg,    BEATRIZ  19/03/04  9:00
222,03 08 010 0019, Tinta Roja Windsor,  TWROJO19,0.0,kg,    PACO     03/05/06 14:39
223,03 08 013 0001, Tinta Rubine Red Superficie,  TSRUBI1,0.0,kg,    ANA      17/10/02 10:32
224,03 08 016 0001, Tinta Rhodamine Red Superficie,  TSRODA1,0.0,kg,    ANA      17/10/02 10:32
225,03 08 019 0001, Tinta Pirpura Superficie,  TSPURP1,7.3,kg,    ANA      17/10/02 10:32
226,03 08 022 0001, Tinta Violeta Superficie,  TSVIOL1,29.0,kg,    ANA      17/10/02 10:32
227,03 08 025 0001, Tinta Azul Superficie Oscuro,  TSAZUL1,0.0,kg,    BEATRIZ  19/03/04  9:00
228,03 08 028 0001, Tinta Azul Reflex Superficie,  TSAZREF1,79.55,kg,    ANA      17/10/02 10:32
229,03 08 031 0001, Tinta Verde Superficie,  TSVERD1,310.25,kg,    ANA      17/10/02 10:32
230,03 08 034 0001, Tinta Negra Superficie,  TSNEGR1,98.84,kg,    BEATRIZ  19/03/04  9:00
231,03 08 034 0002, TINTA ROTOCHEM NEGRA SUPERFICIE,  TSRNEGR1,17.15,kg,    BEATRIZ  31/03/17 12:22
232,03 08 034 0003, Tinta Flexilam Negra Superficie,  TSFNEGR1,0.0,kg,    CLEON    31/07/17  9:47
233,03 08 034 0019, Tinta Negra Windsor,  TWNEGR19,0.0,kg,    PACO     03/05/06 14:39
